label,producto_code,initialVolume,b,t0
p65,804,1488390655,416352712.3004003,1995
p66,805,5098592752,366493197.03708345,1995
p67,806,2816941851,324531536.2115011,1995
p68,807,1140019237,112444547.89530201,1995
p69,808,4046036517,263160585.46963596,1995
p70,809,1751971498,183159823.35697117,1995
p71,810,2157238544,515986589.6910395,1995
p72,811,1024082963,148377764.22527492,1995
p73,812,293862603,-5185401.392727898,1995
p74,813,604085246,78141661.01376921,1995
p75,814,31682523,2801592.510997828,1995
p76,901,14118027589,568379677.2837056,1995
p77,902,1966565073,231214339.82518768,1995
p78,903,73298080,4150580.00760181,1995
p79,904,890035009,123830116.18700874,1995
p80,905,118268616,23497004.35911089,1995
p81,906,146910276,14895217.29129909,1995
p82,907,31881149,16718732.582277235,1995
p83,908,123608910,30616142.887090385,1995
p84,909,145127916,31492285.931541458,1995
p85,910,459764221,86612894.77775054,1995
p86,1001,18008758503,1102548086.032339,1995
p87,1002,409505058,-6321265.084200583,1995
p88,1003,3018525565,170250977.9075729,1995
p89,1004,332154163,20833167.22190445,1995
p90,1005,10984475821,918601430.7453693,1995
p91,1006,6802612202,741914539.6951919,1995
p92,1007,849813522,31232691.22756007,1995
p93,1008,230965701,32283701.256044954,1995
p94,1101,2287652803,105512818.68914987,1995
p95,1102,191631707,30953666.433400586,1995
p96,1103,493365177,29731407.961568575,1995
p97,1104,1267636612,1698847.0269483433,1995
p98,1105,314479042,16165370.530944185,1995
p99,1106,138821047,17465147.8696548,1995
p100,1107,1571816184,96033519.95799628,1995
p101,1108,1161113913,120487376.3923054,1995
p102,1109,235900567,46218983.09489549,1995
p103,1201,7639312065,2021995329.1211977,1995
p104,1202,1058491918,66152985.78960303,1995
p105,1203,80481401,1591575.221297539,1995
p106,1204,283004265,23434678.13255448,1995
p107,1205,1691848859,369228923.76515144,1995
p108,1206,1076407941,112367889.03885491,1995
p109,1207,946391673,150732142.75827548,1995
p110,1208,196469586,61475490.33448854,1995
p111,1209,2136221663,229246267.4856535,1995
p112,1210,344849422,5776168.264140187,1995
p113,1211,1471585491,60571620.67016169,1995
p114,1212,641883137,36660141.70297071,1995
p115,1213,106985169,8339461.878097091,1995
p116,1214,731504877,82833991.56755733,1995
p117,1301,385927710,16814361.36229219,1995
p118,1302,1887592922,211389731.90545946,1995
p119,1401,209584762,-867152.5029567428,1995
p120,1402,7929722,-231544.17126516066,1995
p121,1403,39003020,-1772483.980377907,1995
p122,1404,356609473,18929590.734598678,1995
p123,1501,299470558,13520004.65292944,1995
p124,1502,1147540191,6295473.405799447,1995
p125,1503,63488569,1314089.4447472747,1995
p126,1504,460904104,58907770.02509367,1995
p127,1505,67782191,7284960.853608534,1995
p128,1506,87377808,12271340.197412707,1995
p129,1507,3825679597,268171241.44787073,1995
p130,1508,331738150,2364002.7568289847,1995
p131,1509,2325963870,216478713.9475031,1995
p132,1510,132457475,12844909.040383011,1995
p133,1511,5075810136,1195202181.786469,1995
p134,1512,2634341702,313746218.39148927,1995
p135,1513,1476015456,184294051.0552026,1995
p136,1514,1820909119,227431196.8550558,1995
p137,1515,1435271873,120240216.72606269,1995
p138,1516,1515842967,109146073.96161392,1995
