,location_id,location_code,1995,gdp_over_exports,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
10,147,MOZ,3710000000.0,141.3821788563828,0,20453,1765,0,0,13771,0,0,0,0,0,13933,228510,11146,0,0,0,0,46717,0,0,6044,9197,0,0,0,0,0,5266,827895,1239111,0,5968,0,0,20277760,59187,92349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648344,1287431,0,0,0,0,0,0,446084,0
11,8,ARG,282000000000.0,179.6313377516642,7832725,21930334,5157077,3953275,17411807,2018793,4036361,1602332,2938027,53355,4248075,197171,2381503,162530459,1929334,1681329,1882495,71481,1384963,28606063,469618,28107498,36408760,127582413,37443608,374741,5603079,650393,48452171,57158384,96105553,450537,152568852,23934492,110265,997385,187125164,0,0,0,8506967,37459,33194,222653,733032,97958909,34313356,2724612,3030500,5260735,4904872,449071,53998288,417343,218948,11693079,20452019,28903642,15348022,4237333,6483974,24276606,35022032,24797932,6338665,44713459,31016061,0,905781,355962,18796944,3871448,21869,2563420,1883920
12,41,CHE,448000000000.0,90.45514497621333,43190721,43229167,142067457,3756808,115413381,9495877,28490026,10718500,44055605,672863,24418661,13035409,59575737,28810137,92075198,585875756,886116303,14422640,51848080,85058385,20985793,295448343,287584604,940284,937431,584307,11818053,4385385,6125787,217961,26840,8919,59833,287058,75784,2140690,2772061,57942,11559,10759,76312641,1185011,1776443,5266084,3775883,1170271,293902,2560954,734653,1359550,15414417,18623222,102551869,14142762,70835023,99397084,21003772,279703714,218022997,490225265,469420807,10968119,1892742,3687206,56803244,12217733,1573636,1084108,345131,9890774,10500669,704618,425530,22985636,9069419
13,112,JAM,12600000000.0,100.14541909657737,0,176472,0,0,5139,0,0,0,0,0,0,0,0,1761,91546,60199,0,0,0,0,18545,149194,691561,1972246,1079561,15749605,0,0,1299730,2383606,794062,55654523,31742,0,0,113880,9386849,0,0,4539,0,0,0,0,0,0,0,0,0,0,0,0,33490271,0,0,0,0,19392,0,0,15822,0,9480,0,1826,611363,1900122,1713,44352,0,11439,1162,0,23159,22177
14,153,MYS,141000000000.0,92.36648225844786,72871557,29129833,29680215,798285,3066041,895078,1209969,52252,2670253,67144,1414186,1184028,48726835,59222137,7057583,3779412,4607218,8766298,64859858,2969714,3970021,24255369,232081336,40870492,2016167,1972250,942958,8785163,13018812,191559,1446433,10405211,251157,162440,80459,22033917,63828273,0,0,274866,50711578,969350,1314034,233018,1909647,13531,5187649,193502,24860,1109580,295516,72253,286411840,270156,11487740,88075399,5406345,794265,332752,5026706,5777427,6063328,3732892,73466,198307342,33544914,10945720,842883,1299902,1014975,12242231,751092,7188554,11546672,3741870
15,113,JOR,12900000000.0,126.25496703189195,54924,253039,507868,71280,109392,141006,680015,82685,43927,0,51057,456161,5023407,386322,137522,375844,141029,14748,439085,169380,15302,861506,8586946,36373711,122488,317966,4461,5516,5020203,6985903,3568926,0,353234,1102130,120627,432751,6340708,0,0,0,1271198,334731,66944,0,38006,1466835,1424,0,6793,0,0,256608,2967965,0,277126,548850,150919,376540,70600,121605,18532,3235803,3494,1139,143287,10652548,155612,0,60393,24235,4126,44274,0,444765,78777
16,208,SWE,340000000000.0,88.61695685631041,64579479,6850502,48384974,101251869,203537398,44532016,65826428,150022760,140724946,2309439,54130993,114918110,811448797,393839909,74613899,4483830,12073624,1271588,125965769,19143678,10443066,134851880,246814466,3756998,22711252,261474,678190,948803,8821782,410178,466870,1518656,1236822,456843,73440,1420623,5718297,6991,2850,46975,3569367,117413,304111,50886277,462532,59646,20573,1263,284714,1400,11753,579981,190019642,1843634,4719117,76399606,41833169,4642289,51505131,68964866,10148830,3302661,3331480,1474994,139565138,113144143,16895964,877040,823641,1070609,64551339,557282,705348,79657224,23848842
17,230,URY,27400000000.0,105.47272730100264,160680,7244992,560692,0,14291,19289,1791782,50695,283883,0,324739,0,119886,44513,547299,577636,236006,1682,5393608,207537,183091,3889601,30529077,1582808,1026345,0,3137,29790,215399,47216730,18752332,25841,947095,158479,0,71483,1286962,0,0,0,5565135,0,179645,0,26174,31165513,17874729,1432251,512389,8562752,4985981,795849,601395,0,0,826639,2565909,309142,178887,186875,3804,497792,2338478,21211503,19521703,2764683,9920575,0,2352834,256766,492135,31854,11156,1007515,105353
18,4,ALB,5920000000.0,120.01199876720106,0,1707057,1633,0,40253,75372,76396,0,0,0,108331,25908,89244,442389,435554,7741,68565,0,6877,136693,0,0,2684042,432622,220613,142708,389243,0,35767,0,0,0,0,2726,29990,359830,811298,0,0,0,2528,0,0,0,0,178554,11486,0,27018,0,0,0,0,0,0,0,0,9943,0,0,0,40513482,0,240962,0,0,1159,0,9912,0,0,0,0,2505,0
19,100,HRV,42200000000.0,193.33525190318855,752185,30676451,3848196,510722,448802,1737989,3117882,144624,624861,0,879699,259370,1114251,9138604,1189318,115718,129550,12035,332530,13409591,226365,10952307,12963167,5440913,469650,168477,694367,112805,11822602,1880465,134371,560117,2075742,134283,322421,173756,490031,19356,0,0,2889690,119846,95539,1273570,181341,228027,86916,0,0,31921,0,343331,2767994,21516,0,250631,428128,580797,601473,324290,1679171,81025165,184071,14801,1630704,827589,414811,0,30319,338362,299689,2614298,897792,906817,101524
