,location_id,location_code,location_name_short_en,level,parent_id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,71,ESP,Spain,country,355.0,968000000000.0,6890000000.0,7150000000.0,7150000000.0,7780000000.0,8240000000.0,8765000000.0,9345000000.0,9955000000.0,10825000000.0,11770000000.0,12630000000.0,11950000000.0,10380000000.0,10645000000.0,11415000000.0,90533333333.33334,92400000000.0,95200000000.0,98800000000.0,102933333333.33334,107466666666.66666,112866666666.66666,119066666666.66666
53,72,EST,Estonia,country,355.0,10900000000.0,12300000000.0,12800000000.0,12800000000.0,14100000000.0,14900000000.0,15900000000.0,17100000000.000002,18300000000.0,20000000000.0,21900000000.0,23600000000.0,22400000000.0,19200000000.0,19700000000.0,21100000000.0,21800000000.0,22100000000.0,22800000000.0,23200000000.0,23900000000.0,25200000000.0,26300000000.0,27600000000.0
54,73,ETH,Ethiopia,country,352.0,11800000000.0,12100000000.0,11700000000.0,12300000000.0,13100000000.0,14200000000.0,14400000000.0,14100000000.0,16000000000.0,17900000000.0,19800000000.0,22100000000.0,24400000000.0,26600000000.0,29900000000.0,33299999999.999996,36200000000.0,40000000000.0,44100000000.0,48700000000.0,53300000000.0,58400000000.0,62300000000.0,67500000000.0
55,74,FIN,Finland,country,355.0,169000000000.0,180000000000.0,189000000000.0,198000000000.0,209000000000.0,215000000000.0,218000000000.0,223000000000.0,232000000000.0,238000000000.0,248000000000.0,261000000000.0,263000000000.0,241000000000.0,249000000000.0,256000000000.0,252000000000.0,250000000000.0,249000000000.0,250000000000.0,257000000000.0,265000000000.0,269000000000.0,272000000000.0
56,75,FJI,Fiji,country,354.0,2540000000.0,2480000000.0,2510000000.0,2740000000.0,2690000000.0,2740000000.0,2830000000.0,2860000000.0,3010000000.0,3030000000.0,3090000000.0,3060000000.0,3090000000.0,3050000000.0,3140000000.0,3230000000.0,3270000000.0,3430000000.0,3620000000.0,3780000000.0,3870000000.0,4080000000.0,4240000000.0,4219999999.9999995
57,77,FRA,France,country,355.0,1787666666.6666665,1742000000.0,1764666666.6666665,1919000000.0,1890333333.3333335,1925666666.6666665,1986333333.3333335,2007666666.6666665,2104666666.6666665,2120000000.0,2160000000.0,2138000000.0,2155666666.6666665,2130000000.0,2730000000.0,2255333333.3333335,2280333333.3333335,2383333333.3333335,2507666666.666667,2618666666.666667,2679666666.666667,2822333333.333333,2929000000.0,2917000000.0
58,80,GAB,Gabon,country,352.0,12800000000.0,13500000000.0,14000000000.0,12700000000.0,12500000000.0,12800000000.0,12700000000.0,13000000000.0,13100000000.0,13500000000.0,13100000000.0,13900000000.0,13400000000.0,13400000000.0,14400000000.0,15400000000.0,16200000000.0,17100000000.000002,17900000000.0,18500000000.0,18900000000.0,19000000000.0,19200000000.0,19900000000.0
59,81,GBR,United Kingdom,country,355.0,3975000000.0,4370000000.0,4640000000.0,4930000000.0,5075000000.0,5330000000.0,5635000000.0,6160000000.0,6505000000.0,7050000000.0,7685000000.0,8525000000.0,8805000000.0,8615000000.0,9060000000.0,9570000000.0,10240000000.0,10625000000.0,11100000000.0,11335000000.0,11780000000.0,12285000000.0,12775000000.0,18966666666.666668
60,82,GEO,Georgia,country,353.0,5580000000.0,6170000000.0,6360000000.0,6540000000.0,6660000000.0,6980000000.0,7360000000.0,8180000000.0,8650000000.0,9480000000.0,10400000000.0,11700000000.0,12000000000.0,11500000000.0,12200000000.0,13100000000.0,14000000000.0,14500000000.0,15100000000.0,15600000000.0,16000000000.0,16800000000.0,17600000000.0,18500000000.0
61,83,GHA,Ghana,country,352.0,15600000000.0,16200000000.0,17000000000.0,17700000000.0,18400000000.0,19100000000.0,20000000000.0,21000000000.0,22200000000.0,23500000000.0,25000000000.0,26100000000.0,28500000000.0,29800000000.0,32200000000.000004,36700000000.0,40100000000.0,43100000000.0,44300000000.0,45200000000.0,46800000000.0,50600000000.0,53700000000.0,57200000000.0
